Name,Category,NOM ,Agave Type ,Agave Region ,Region ,Cooking ,Extraction ,Water Source ,Fermentation ,Distillation ,Still ,Aging ,ABV/Proof ,Other ,N_Ratings,PanelScore,ComScore,Agave (cooked),Caramel,Oak,Vanilla,Butter,Pepper (black),Fruity,Citrus,Olive,Dried Fruit,Orange,Lime,Smoke,Minerals,Earth,Anise,Brine/Salt,Cinnamon,Vegetal,Mint,Flowers,Herbal,Grass,White Pepper,Chocolate,Alcohol,Tobacco,Butterscotch,Honey,Leather,Nuts,Cream Soda,Pear,Raisin,Cherries (dried),Nutmeg,Tropical Fruits,Lactic,Whiskey,Cherry,Melon,Bell Pepper,Baking Spice,Almond,Pineapple,Pitted Fruit,Licorice,Agave (raw),Apple,Banana,Molasses,Maple,Barrel Spice,Peach,Toffee,Grapefruit,Mocha,Berry,Cocoa,Hazelnut,Clove,Plum,Nuts (Roasted),Coffee,Pinecone,Lemon,Yeast/Dough,Black Tea,Cedar,Pine Tree,Celery,Orange Blossom,Coconut,Tangerine,Prune,Orange Peel,Jalapeño,Wet Earth,Grass (cut),Grass (wet),Apple (green),Grapes,Wood Bark,Allspice,Mushroom,Charcoal,Rosemary,Cake Batter,Dill,Jasmine,Lavender,Spearmint,Cider,Astringent,Hay,Damiana,Solvent,Vinegar,Moss,Lemongrass,Chamomile,Peppermint,Medicinal,Rose,Wet Cement,Plastic,Oregano,Walnut,Sage,Toasted Bread,Fruit (fake),Wood Shavings,Thyme,Tamarind,Baby Oil,Musty,Artichoke,Metallic,Caraway Seed,Rubber,Varnish,Resin,Sawdust,Soap,Basil,Mild Ammonia,Sour Milk,Strawberry,Parsley,Artificial Sweetener,Acetone,Hominy,Baking Soda,Petrol,Limestone,Sulfur,Chlorine
Casa Noble Single Barrel Extra Añejo,Extra Añejo,1137,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Screw Mill,-,100% agave Stainless steel tanks,3x distilled,Stainless Pot w/Copper Coil,French Oak barrels,40% abv (80-proof),-,175,89,88,8,9,10,14,,2,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miravalle Reposado,Reposado,1426,Tequilana Weber,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,Deep well water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Stainless Steel Pot,American White Oak barrels Whisky barrels Used barrels,38% abv (76 proof),-,8,89,88,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Reserva Especial Reposado,Reposado,1499  (Previously 1079 ),Tequilana Weber,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,21,89,88,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Valente Directo del Alambique Blanco,Blanco,1450,Tequilana Weber,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,Deep well water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Copper Pot,-,50% abv (100-proof),Distilled at or near proof,10,89,87,2,,,,,1,,,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapatio Blanco 110,Blanco,1139,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill Tahona,Deep well water,100% agave Wood fermentation tanks Open-air fermentation Fermentation with fibers,2x distilled,Copper Pot,-,55% abv (110-proof),No additives,295,89,87,53,,,,,40,,16,,,,9,,8,11,,,,8,8,13,,,8,,21,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonala Añejo Suprema Reserva,Añejo,1472,Tequilana Weber,-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,54,89,87,3,2,,2,,3,,1,,,1,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atanasio Orígenes Blanco Espíritu Fuerte,Blanco,1599,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Autoclave (low pressure),Roller Mill,Deep well water,100% agave Stainless steel tanks Open-air fermentation Fermentation without fibers,2x distilled,Stainless Steel Pot,-,46% abv (92-proof),Aeration No additives,16,89,86,4,,,,,5,2,2,,,,,,,2,,,,3,2,,,1,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrón en Lalique: Serie 1,Extra Añejo,1492,Tequilana Weber,-,Jalisco (Ciénega),Stone/Brick Ovens,Tahona Roller Mill,Deep well water,100% agave Wood fermentation tanks,2x distilled,Copper Pot,French Oak barrels American White Oak barrels New barrels Used barrels,40% abv (80-proof),No additives,12,89,86,4,1,1,1,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centinela 3 Year,Añejo,1140,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,American White Oak barrels,40% abv (80-proof),-,49,89,86,8,5,3,2,2,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herradura Aniversario Extra Añejo,Extra Añejo,1119,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,Natural spring water,100% agave Stainless steel tanks Open-air fermentation Fermentation without fibers,2x distilled,Stainless Pot w/Copper Coil,American White Oak barrels,40% abv (80-proof),-,16,89,85,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curado Tequila Blanco (Cupreata),Blanco,1474,Tequilana Weber Cupreata,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Natural spring water,100% agave Wood fermentation tanks Open-air fermentation Fermentation without fibers,2x distilled,Copper Pot,-,40% abv (80-proof),Flavored Tequila,11,89,85,3,,,,,2,,,,,,,1,,2,,,,,,,,,2,,,,,,,,,1,,1,,,,,1,,,3,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purasangre Agave Series Reposado,Reposado,1146,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Valles),Autoclave (low pressure),Screw Mill Roller Mill,Deep well water,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),No additives,8,89,85,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruz Tequila Añejo,Añejo,1455,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,American White Oak barrels New barrels,40% abv (80-proof),-,16,89,85,2,1,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional Reposado,Reposado,1598  (Previously 1503 1121 ),-,-,Jalisco (Los Valles),-,-,-,-,-,-,-,-,-,15,89,85,3,2,,3,1,2,,,,,,,,2,2,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loco Tequila Blanco,Blanco,1123,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Tahona Roller Mill,Deep well water,100% agave Stainless steel tanks Cement Tank Wood fermentation tanks,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),No additives,10,89,84,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caballo Moro Reposado,Reposado,1115,Tequilana Weber,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,3,89,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Fernando Añejo,Añejo,1473  (Previously 1115 ),Tequilana Weber,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,-,-,40% abv (80-proof),-,25,89,84,4,3,3,,,2,,,,,,,,,,2,1,3,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,2,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cazul 100 Reserva Extra Añejo,Extra Añejo,1137,Tequilana Weber,-,Jalisco (Los Valles),Stone/Brick Ovens,Screw Mill,Deep well water,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,59,89,82,3,3,2,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa Noble Crystal (1st Generation),Blanco,1137,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Screw Mill,-,100% agave Stainless steel tanks,3x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,12,89,82,1,,,,,,,,,,,1,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Cosmé Reposado,Reposado,1438  (Previously 1426 ),Tequilana Weber,Jalisco (Los Altos) Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,Deep well water,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,11,89,81,2,3,,2,1,1,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Decreto Reposado,Reposado,1509,Tequilana Weber,Jalisco (Los Altos),Jalisco (Ciénega),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,American White Oak barrels,40% abv (80-proof),-,9,89,81,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888 Añejo,Añejo,1472,Tequilana Weber,-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,6,89,80,1,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Los Altos Añejo,Añejo,1529  (Previously 1483 ),Tequilana Weber,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,100% agave,2x distilled,Copper Pot,-,40% abv (80-proof),-,5,89,79,1,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sol de Mexico Blanco,Blanco,1526,Tequilana Weber,-,Jalisco (Ciénega),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,19,89,78,5,,,,,4,,,,,1,,,2,2,3,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catador Reposado,Reposado,1105,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,1,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suave Patria Añejo,Añejo,1146,Tequilana Weber,-,Jalisco (Los Valles),Autoclave (low pressure),Screw Mill Roller Mill,-,100% agave Stainless steel tanks,2x distilled,-,-,40% abv (80-proof),-,1,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Luna Nueva Reposado,Reposado,1107,Tequilana Weber,-,Jalisco (Ciénega),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,1,89,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYLA Organic Tequila Blanco,Blanco,1480,Tequilana Weber,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,Deep well water,100% agave Stainless steel tanks,3x distilled,Copper Pot,-,40% abv (80-proof),Kosher Gluten Free,3,88,100,1,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cazcanes No. 9 Extra Añejo,Extra Añejo,1599,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Autoclave (low pressure),Roller Mill,Natural spring water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Stainless Steel Pot,American White Oak barrels Used barrels,50% abv (100-proof),Aeration No additives,41,88,91,7,4,7,7,5,,7,,,4,,,,,3,4,,6,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOKORO Tequila Plata,Blanco,1604,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Tahona,Deep well water,100% agave Open-air fermentation Wood fermentation tanks,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,28,88,91,9,,,,2,7,,3,,,,,,6,2,5,,,2,6,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Caballo Estrella Añejo,Añejo,1507  (Previously 1438 1502 ),-,-,Jalisco (Los Valles),-,-,-,-,-,-,-,-,-,7,88,91,4,3,1,4,,2,,,,,,,,,,,,1,,,,,,,1,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortaleza Reposado - Winter Blend 2020,Reposado,1493,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Tahona,Deep well water,100% agave Wood fermentation tanks Open-air fermentation Fermentation without fibers,2x distilled,Copper Pot,French Oak barrels American White Oak barrels Beer Casks,46.3% abv (92.6-proof),Distilled at or near proof Blended batches No additives,207,88,90,30,11,12,19,,9,5,10,,,,,,,,4,,4,,,,,,7,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capote Añejo,Añejo,1499,Tequilana Weber,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,American White Oak barrels,40% abv (80-proof),-,5,88,90,2,,1,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siete Leguas Single Barrel Extra Añejo,Extra Añejo,1120,Tequilana Weber,Jalisco (Los Altos),Jalisco (Ciénega),Stone/Brick Ovens,Tahona Roller Mill,Natural spring water,100% agave Stainless steel tanks Open-air fermentation Fermentation with fibers Fermentation without fibers,2x distilled,Copper Pot,American White Oak barrels Used barrels Bourbon barrels,38% abv (76 proof) 40% abv (80-proof),No additives,44,88,90,5,1,1,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Tesoro de Mi Tierra Extra Añejo,Extra Añejo,1547,Tequilana Weber,-,Jalisco (Ciénega),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,American White Oak barrels Used barrels,40% abv (80-proof),-,2,88,90,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortaleza Reposado - Winter Blend 2021,Reposado,1493,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Tahona,Deep well water,100% agave Wood fermentation tanks Open-air fermentation Fermentation without fibers,2x distilled,Copper Pot,French Oak barrels Wine casks Used barrels,46% abv (92-proof),Distilled at or near proof Blended batches No additives,134,88,89,19,5,12,10,10,8,6,7,,,,,,,,4,,13,,,,,,,,,,4,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4 Extra Añejo (5 year),Extra Añejo,1579,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Tahona,Natural spring water Rain water,100% agave Stainless steel tanks Open-air fermentation Fermentation without fibers,2x distilled,Copper Pot,American White Oak barrels Whisky barrels Used barrels,40% abv (80-proof),No additives,41,88,89,5,,2,1,1,1,,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volans Reposado,Reposado,1579,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Tahona,Deep well water Natural spring water Rain water,100% agave Stainless steel tanks Open-air fermentation Fermentation without fibers,2x distilled,Copper Pot,Whisky barrels Used barrels,40% abv (80-proof),No additives,92,88,89,12,3,5,3,5,8,,2,,,,,,5,,,6,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calle 23 Single Barrel Añejo,Añejo,1433,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Autoclave (low pressure),Roller Mill,Deep well water,100% agave Stainless steel tanks Open-air fermentation Fermentation without fibers,2x distilled,Stainless Pot w/Copper Coil,American White Oak barrels Single Barrel Used barrels,51% abv (102-proof),Natural cork,52,88,89,9,4,4,8,,4,,5,,,,,,,,,,,,,,,,,3,8,,5,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocho Tequila Añejo - Cask Finish - Pierre Ferrand ,Añejo,1474,Tequilana Weber,Jalisco (Los Altos) Single Estate,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Natural spring water,100% agave Wood fermentation tanks Open-air fermentation Fermentation without fibers,2x distilled,Copper Pot,French Oak barrels Cognac casks Used barrels,42% abv (84-proof),Aeration No additives,5,88,89,2,1,2,1,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Tequileño Reposado Rare,Reposado,1108,Tequilana Weber,Jalisco (Los Altos) Single Estate,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,Natural spring water,100% agave Cement Tank,2x distilled,Copper Pot,Pipones,40% abv (80-proof),No additives,274,88,89,27,20,17,16,5,6,,,,,,,,,,,,9,,,5,,,,,4,,8,10,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zee Bandido de Amores (Black Label) Extra Añejo,Extra Añejo,1560,Tequilana Weber,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,French Oak barrels,40% abv (80-proof),-,27,88,89,4,5,3,,2,,,2,,,,,,,,,,2,,,,,,,3,1,,,1,,,,,1,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaquira, Reserva de Jaguar Extra Añejo",Extra Añejo,1438,Tequilana Weber,Jalisco (Los Altos) Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens Autoclave (high pressure),Roller Mill,Deep well water,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,American White Oak barrels,40% abv (80-proof),-,11,88,89,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa Lobos Extra Añejo,Extra Añejo,1139,Tequilana Weber,Jalisco (Los Altos) Single Estate,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Wood fermentation tanks,2x distilled,Copper Pot,American White Oak barrels,40% abv (80-proof),No additives,35,88,89,3,2,3,1,1,,,,,,,,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siembra Azul Piñera Extra Añejo,Extra Añejo,1414,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,100% agave Stainless steel tanks Open-air fermentation Fermentation without fibers,2x distilled,Copper Pot,French Oak barrels,40% abv (80-proof),-,5,88,89,2,1,1,2,,2,2,,,,,,,,,,,,1,,,,,,2,1,,1,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
