Name,Category,NOM ,Agave Type ,Agave Region ,Region ,Cooking ,Extraction ,Water Source ,Fermentation ,Distillation ,Still ,Aging ,ABV/Proof ,Other ,N_Ratings,PanelScore,ComScore,Agave (cooked),Caramel,Oak,Vanilla,Butter,Pepper (black),Fruity,Citrus,Olive,Dried Fruit,Orange,Lime,Smoke,Minerals,Earth,Anise,Brine/Salt,Cinnamon,Vegetal,Mint,Flowers,Herbal,Grass,White Pepper,Chocolate,Alcohol,Tobacco,Butterscotch,Honey,Leather,Nuts,Cream Soda,Pear,Raisin,Cherries (dried),Nutmeg,Tropical Fruits,Lactic,Whiskey,Cherry,Melon,Bell Pepper,Baking Spice,Almond,Pineapple,Pitted Fruit,Licorice,Agave (raw),Apple,Banana,Molasses,Maple,Barrel Spice,Peach,Toffee,Grapefruit,Mocha,Berry,Cocoa,Hazelnut,Clove,Plum,Nuts (Roasted),Coffee,Pinecone,Lemon,Yeast/Dough,Black Tea,Cedar,Pine Tree,Celery,Orange Blossom,Coconut,Tangerine,Prune,Orange Peel,Jalapeño,Wet Earth,Grass (cut),Grass (wet),Apple (green),Grapes,Wood Bark,Allspice,Mushroom,Charcoal,Rosemary,Cake Batter,Dill,Jasmine,Lavender,Spearmint,Cider,Astringent,Hay,Damiana,Solvent,Vinegar,Moss,Lemongrass,Chamomile,Peppermint,Medicinal,Rose,Wet Cement,Plastic,Oregano,Walnut,Sage,Toasted Bread,Fruit (fake),Wood Shavings,Thyme,Tamarind,Baby Oil,Musty,Artichoke,Metallic,Caraway Seed,Rubber,Varnish,Resin,Sawdust,Soap,Basil,Mild Ammonia,Sour Milk,Strawberry,Parsley,Artificial Sweetener,Acetone,Hominy,Baking Soda,Petrol,Limestone,Sulfur,Chlorine
The Giggling Marlin Añejo,Añejo,1500,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,French Oak barrels,40% abv (80-proof),-,6,85,82,1,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Pilar Reposado,Reposado,1443,Tequilana Weber,Jalisco (Los Altos) Single Estate,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks Classical music,2x distilled,Stainless Steel Pot,American White Oak barrels New barrels,40% abv (80-proof),-,61,85,82,13,6,8,7,3,6,2,,,,2,,,,,,,4,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Amo Premium Reposado,Reposado,1479,Tequilana Weber,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,30,85,82,4,3,3,1,,2,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellia Blanco,Blanco,1110  (Previously 1139 ),Tequilana Weber,-,Jalisco (Los Valles),-,-,-,100% agave,-,-,-,40% abv (80-proof),-,120,85,82,17,,,,,16,5,6,,,4,,,5,,,,,3,3,7,,4,,,6,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herencia Mexicana Blanco,Blanco,1580  (Previously 1079 1586 1465 ),Tequilana Weber,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,90,85,82,19,,,,8,9,,6,,,,,,6,6,,,6,5,,5,,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapatio Reposado,Reposado,1139,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill Tahona,Deep well water,100% agave Wood fermentation tanks Open-air fermentation Fermentation with fibers,2x distilled,Copper Pot,Bourbon barrels,40% abv (80-proof),No additives,412,85,82,49,16,25,24,15,19,9,5,,,,,,,7,,,,6,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacienda Dragon Extra Añejo,Extra Añejo,1499,Tequilana Weber,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,4,85,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantera Negra Reposado,Reposado,1554,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Central),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,66,85,81,2,3,6,6,,1,,,,,,,1,,2,,,1,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espolon Doble Barrica Reposado - Chardonnay,Reposado,1440,Tequilana Weber,-,Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,Deep well water,100% agave Stainless steel tanks,2x distilled,Column Stainless Pot w/Copper Coil,Wine casks Double Barrel,40% abv (80-proof),Distilled at or near proof,13,85,81,4,2,,4,3,2,1,2,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenni Rivera La Gran Señora Reposado Tequila ,Reposado,1173  (Previously 1438 1610 ),Tequilana Weber,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,10,85,81,3,,2,1,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
Number Juan Reposado,Reposado,1531,Tequilana Weber,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,81,85,81,9,4,13,4,,9,2,,,,,,3,,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Camichin Joven,Joven,1441,Tequilana Weber,-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,5,85,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oro Azul Reposado,Reposado,1580  (Previously 1079 ),Tequilana Weber,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,60,85,81,7,3,4,4,,1,1,,,,,,,,,3,,,2,,,,,2,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senda Real Silver,Blanco,1482,Tequilana Weber,-,Jalisco (Central),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,-,Copper Pot,-,40% abv (80-proof),-,6,85,81,2,,,,,,,,,,,,,1,,1,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herencia Mexicana Añejo,Añejo,1079  (Previously 1586 1465 ),Tequilana Weber,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,-,-,100% agave,2x distilled,Copper Pot,-,40% abv (80-proof),-,57,85,81,5,3,3,,4,2,,1,,,,,1,,,,,,,,,,,,2,2,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
